user_id,item_id,ranking
1,44,5
1,41,2
1,47,4
1,13,1
1,25,4
1,32,4
1,18,2
1,33,3
2,43,2
2,46,1
2,5,5
2,45,1
2,38,4
2,19,2
2,32,5
2,12,2
2,3,4
2,11,3
3,20,2
3,46,4
3,8,4
3,31,3
3,41,3
4,18,3
4,13,2
4,20,1
4,10,5
4,7,4
5,10,4
5,21,1
5,13,1
5,14,1
5,50,5
5,15,1
6,18,2
6,20,3
6,2,5
6,10,3
6,23,2
6,11,2
6,7,5
7,3,4
7,41,4
7,45,5
7,34,2
7,43,4
7,30,2
8,18,2
8,31,2
8,6,5
8,11,2
8,42,5
8,8,4
8,2,4
8,27,2
8,13,1
8,35,3
9,20,3
9,6,4
9,25,5
9,36,4
9,22,1
9,41,5
9,42,1
9,30,3
10,8,5
10,11,2
10,6,3
10,32,1
10,38,2
11,21,3
11,50,3
11,14,3
11,46,2
11,30,1
11,16,1
11,11,2
12,29,1
12,7,5
12,47,2
12,39,1
12,40,3
13,24,1
13,16,2
13,39,5
13,38,3
13,45,1
13,42,1
13,50,5
13,11,2
13,7,4
14,26,5
14,28,2
14,25,5
14,37,2
14,14,1
14,1,5
14,19,2
15,18,2
15,38,2
15,19,2
15,32,1
15,46,1
15,31,5
16,44,3
16,48,2
16,7,4
16,13,3
16,30,2
16,43,4
16,1,4
16,31,1
17,7,5
17,21,3
17,44,1
17,46,5
17,19,1
17,18,1
17,4,3
17,30,5
18,28,1
18,16,1
18,9,4
18,30,2
18,27,5
18,12,3
18,49,1
19,7,3
19,44,3
19,3,4
19,16,3
19,18,3
19,22,1
19,19,1
19,30,5
19,34,2
19,50,4
20,8,3
20,32,3
20,13,1
20,3,5
20,28,5
20,5,4
20,16,2
20,34,3
20,43,2
20,46,1
21,9,4
21,50,5
21,42,3
21,14,1
21,17,3
21,12,2
21,6,4
21,20,3
21,37,5
21,45,4
22,25,1
22,48,5
22,31,1
22,1,4
22,15,2
22,43,5
22,45,2
23,44,1
23,14,2
23,13,2
23,47,1
23,43,3
23,20,3
23,25,5
23,41,4
23,9,4
23,23,2
24,1,4
24,30,3
24,22,4
24,32,4
24,40,5
24,4,3
24,35,5
24,49,3
25,50,1
25,37,1
25,9,4
25,19,1
25,49,3
25,43,2
26,18,1
26,40,1
26,23,3
26,47,3
26,21,4
26,49,5
26,12,3
26,41,1
26,27,2
27,30,3
27,37,5
27,14,3
27,7,3
27,41,2
27,4,3
27,22,3
27,32,5
28,25,5
28,8,4
28,47,3
28,22,3
28,37,4
28,35,5
28,33,4
28,30,5
28,45,3
28,41,1
29,8,3
29,38,1
29,30,1
29,18,1
29,7,3
29,46,3
29,41,2
29,9,5
29,28,3
29,25,5
30,5,3
30,45,1
30,28,1
30,39,1
30,16,2
30,42,1
30,4,5
30,10,4
31,30,5
31,23,3
31,1,3
31,35,2
31,5,4
31,22,5
32,46,2
32,13,1
32,34,2
32,14,1
32,11,3
33,38,4
33,7,4
33,43,4
33,18,2
33,13,1
33,32,5
33,50,4
33,40,2
33,33,5
34,26,4
34,41,1
34,22,1
34,3,3
34,4,4
35,30,3
35,24,2
35,14,3
35,29,1
35,42,3
35,40,5
35,22,2
35,8,5
35,16,3
36,46,1
36,27,2
36,33,5
36,7,4
36,47,4
36,18,2
36,17,1
36,39,1
37,36,3
37,48,2
37,20,2
37,50,5
37,14,2
37,40,1
37,6,5
37,11,1
38,50,4
38,23,4
38,14,1
38,15,3
38,44,5
38,29,1
38,31,2
38,28,1
38,43,4
39,10,5
39,15,2
39,19,3
39,37,5
39,31,4
40,22,4
40,50,1
40,36,4
40,32,5
40,8,4
40,5,5
41,22,2
41,35,5
41,43,4
41,47,5
41,44,3
41,27,3
41,38,4
41,37,5
42,14,1
42,19,2
42,24,2
42,35,2
42,12,2
42,7,5
42,47,4
42,44,3
42,45,2
43,31,1
43,18,2
43,16,2
43,42,1
43,2,4
43,50,2
43,12,2
44,24,4
44,4,3
44,43,3
44,45,1
44,6,5
44,37,5
45,40,5
45,34,1
45,17,2
45,20,1
45,44,2
45,14,3
45,6,5
45,26,1
45,35,2
46,49,1
46,1,4
46,18,1
46,12,1
46,9,4
46,38,3
46,45,3
46,44,1
46,22,4
47,12,3
47,8,3
47,38,4
47,43,4
47,50,4
47,2,4
47,7,5
47,25,1
47,31,4
47,44,5
48,19,1
48,38,1
48,3,4
48,47,1
48,41,5
48,17,2
48,2,4
48,32,1
48,33,1
48,46,2
49,9,5
49,38,5
49,14,2
49,23,4
49,50,4
49,30,3
49,20,3
49,31,2
49,46,4
50,13,2
50,1,3
50,17,2
50,18,2
50,43,3
50,20,2
51,40,5
51,7,3
51,17,1
51,39,1
51,10,3
51,29,4
51,24,2
51,48,1
51,43,3
51,8,4
52,43,3
52,26,3
52,38,3
52,13,2
52,10,4
52,39,4
53,10,5
53,2,5
53,29,5
53,12,2
53,47,1
53,37,5
53,11,3
53,16,2
53,49,4
54,47,1
54,45,2
54,42,1
54,49,5
54,10,4
54,26,2
54,2,5
55,2,4
55,18,3
55,6,4
55,16,3
55,4,3
55,22,5
55,28,1
56,40,1
56,47,1
56,17,1
56,46,5
56,44,3
56,34,2
56,5,4
56,24,5
